number,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,body_type,mileage,engine,max_power,seats
47,Maruti Alto K10 VXI,2018,390000,10300,Petrol,Dealer,Manual,First Owner,MUV/SUV,23.95,998,106,5
48,Toyota Fortuner 4x4 MT,2014,1500000,77000,Diesel,Dealer,Manual,First Owner,Hatchback,12.55,2982,370,7
49,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,700000,99000,Diesel,Dealer,Manual,First Owner,Coupe,12.99,2494,283,7
50,Mercedes-Benz B Class B180,2014,1450000,27800,Diesel,Dealer,Automatic,Second Owner,Wagon,14.8,2143,273,5
51,Honda Amaze S Diesel,2015,425000,49800,Diesel,Dealer,Manual,First Owner,Convertible,24.7,1498,194,5
52,Mitsubishi Pajero Sport 4X4,2013,1090000,151000,Diesel,Dealer,Manual,First Owner,MUV/SUV,13.5,2477,321,7
53,Honda City i DTEC S,2015,600000,54700,Diesel,Dealer,Manual,First Owner,Sedan,26,1498,151,5
54,Maruti Ciaz Zeta,2018,850000,64000,Petrol,Dealer,Manual,First Owner,Van,20.65,1462,191,5
55,Honda Jazz VX Diesel,2015,525000,63000,Diesel,Dealer,Manual,First Owner,Wagon,27.3,1498,140,5
56,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1650000,127700,Diesel,Dealer,Automatic,Second Owner,Jeep,11.36,2755,331,7
57,Toyota Innova 2.5 G (Diesel) 7 Seater,2016,950000,99000,Diesel,Dealer,Manual,First Owner,Van,12.99,2494,282,7
58,Audi A6 2.0 TDI Technology,2013,1750000,33900,Diesel,Dealer,Automatic,Second Owner,Wagon,17.68,1968,231,5
59,Toyota Corolla Altis 1.8 VL CVT,2018,1590000,25000,Petrol,Dealer,Automatic,First Owner,Coupe,14.28,1798,178,5
60,Audi A6 2.0 TDI  Design Edition,2013,1689999,50000,Diesel,Dealer,Automatic,First Owner,Jeep,18.53,1968,256,5
61,Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner,Convertible,14.84,2143,280,5
62,Tata Manza ELAN Quadrajet BS IV,2011,265000,120000,Diesel,Individual,Manual,First Owner,Hatchback,21.12,1248,136,5
63,Hyundai i10 Magna,2011,190000,110000,Petrol,Individual,Manual,Third Owner,Van,20.36,1197,115,5
64,Hyundai i20 Asta 1.4 CRDi,2013,425000,60000,Diesel,Individual,Manual,First Owner,Coupe,21.27,1396,194,5
65,Maruti Swift Dzire ZDI,2015,630000,147000,Diesel,Individual,Manual,Second Owner,Hatchback,26.59,1248,181,5
66,Ford Figo 1.2P Titanium MT,2017,600000,25000,Petrol,Individual,Manual,Third Owner,Sedan,18.16,1196,146,5
67,Maruti Baleno Delta 1.2,2019,650000,30000,Petrol,Individual,Manual,First Owner,Hatchback,21.4,1197,104,5
68,Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,540000,40000,Diesel,Individual,Manual,First Owner,Hatchback,22,1498,184,5
69,Honda City i DTEC VX,2015,630000,135000,Diesel,Individual,Manual,First Owner,Sedan,25.1,1498,143,5
70,Maruti Wagon R AMT VXI,2018,448000,30000,Petrol,Individual,Automatic,First Owner,Jeep,20.51,998,93,5
71,Volkswagen Ameo 1.5 TDI Comfortline,2017,500000,80000,Diesel,Individual,Manual,First Owner,Van,21.66,1498,179,5
72,Maruti Vitara Brezza VDi,2016,745000,70000,Diesel,Individual,Manual,First Owner,MUV/SUV,24.3,1248,201,5
73,Maruti Vitara Brezza ZDi Plus AMT,2019,1025000,9850,Diesel,Individual,Automatic,First Owner,Hatchback,24.3,1248,191,5
74,Hyundai i10 Magna,2011,235000,60000,Petrol,Individual,Manual,Second Owner,Wagon,20.36,1197,115,5
75,Maruti Swift VDI Deca,2016,630000,70000,Diesel,Individual,Manual,First Owner,MUV/SUV,25.2,1248,149,5
76,Toyota Fortuner 4x4 MT,2015,1700000,78000,Diesel,Individual,Manual,Second Owner,Convertible,12.55,2982,310,7
77,Maruti Swift Star VDI,2013,450000,120000,Diesel,Individual,Manual,Second Owner,Convertible,22.9,1248,170,5
78,Maruti Ertiga ZXI,2012,450000,120000,Petrol,Individual,Manual,Second Owner,MUV/SUV,16.02,1373,141,7
79,Tata Indica DLS,2003,50000,70000,Diesel,Individual,Manual,First Owner,Sedan,19.41878336,1458,140,7
80,Volkswagen Vento Diesel Highline,2013,450000,170000,Diesel,Individual,Manual,First Owner,Coupe,20.54,1598,219,5
81,Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,1200000,140000,Diesel,Individual,Manual,First Owner,Van,12.99,2494,310,8
82,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,610000,90000,Diesel,Individual,Manual,First Owner,Hatchback,22.77,1498,195,5
83,BMW X1 sDrive20i xLine,2016,2500000,30000,Petrol,Individual,Automatic,Second Owner,Hatchback,15.71,1998,257,5
84,Maruti Celerio ZXI MT BSIV,2017,484999,10000,Petrol,Dealer,Manual,First Owner,Coupe,23.1,998,89,5
85,Datsun GO A Petrol,2016,275000,49000,Petrol,Dealer,Manual,First Owner,Sedan,19.02,1198,148,5
86,Maruti Alto 800 VXI BSIV,2016,315000,32000,Petrol,Dealer,Manual,First Owner,Convertible,24.7,796,61,5
87,Maruti Alto 800 LXI BSIV,2016,275000,38000,Petrol,Dealer,Manual,First Owner,Coupe,24.7,796,57,5
88,Maruti Swift VDI BSIV W ABS,2015,475000,78000,Diesel,Dealer,Manual,First Owner,Coupe,19.41878336,1458,179,7
89,Hyundai i10 Era 1.1,2012,290000,28000,Petrol,Dealer,Manual,First Owner,Van,19.81,1086,114,5
90,Maruti Omni 8 Seater BSIV,2017,280000,32000,Petrol,Dealer,Manual,First Owner,Coupe,14,796,53,5
91,Maruti Wagon R LXI LPG BSIV,2010,225000,44000,LPG,Dealer,Manual,First Owner,Sedan,26.2,998,117,5
92,Volkswagen Polo 1.2 MPI Comfortline,2015,455000,42000,Petrol,Dealer,Manual,First Owner,Jeep,16.47,1198,120,5
93,Hyundai i10 Magna 1.1L,2015,351000,45000,Petrol,Dealer,Manual,Second Owner,MUV/SUV,19.81,1086,147,5
94,Volkswagen Vento Petrol Highline,2012,535000,12000,Petrol,Dealer,Manual,Second Owner,Sedan,15.04,1598,169,5
95,Maruti Zen Estilo LXI BSIII,2009,175000,55500,Petrol,Dealer,Manual,First Owner,Hatchback,18.2,998,119,5
96,Hyundai i20 Asta Optional with Sunroof 1.2,2013,525000,61500,Petrol,Dealer,Manual,First Owner,Van,18.5,1197,101,5
97,Maruti Swift Dzire LDI,2016,600000,150000,Diesel,Individual,Manual,First Owner,Jeep,26.59,1248,142,5
98,Hyundai Xcent 1.2 Kappa SX Option AT,2016,565000,72000,Petrol,Dealer,Automatic,First Owner,Jeep,19.1,1197,147,5
99,Maruti Alto LX BSIII,2008,120000,68000,Petrol,Dealer,Manual,Third Owner,Coupe,19.7,796,60,5
100,Hyundai i20 1.4 Asta Option,2017,725000,110000,Diesel,Individual,Manual,First Owner,Coupe,22.54,1396,166,5
101,Maruti Wagon R VXI,2009,185000,77000,Petrol,Dealer,Manual,Second Owner,MUV/SUV,21.79,998,105,5
102,Tata Manza Aura (ABS) Quadrajet,2010,200000,100000,Diesel,Individual,Manual,Second Owner,Wagon,18.8,1248,136,5
103,Maruti Swift VXI,2019,615000,10000,Petrol,Individual,Manual,First Owner,Convertible,21.21,1197,143,5
104,Maruti Eeco 7 Seater Standard BSIV,2016,270000,100000,Petrol,Individual,Manual,Third Owner,Wagon,15.37,1196,146,7
105,Maruti Baleno Zeta 1.2,2018,610000,35000,Petrol,Individual,Manual,First Owner,Wagon,21.4,1197,138,5
106,Mahindra Scorpio VLX AT AIRBAG BSIV,2014,625000,70000,Diesel,Individual,Automatic,Second Owner,Hatchback,11.79,2179,301,8
107,Ford Freestyle Titanium Petrol BSIV,2020,400000,5000,Petrol,Individual,Manual,Second Owner,MUV/SUV,19,1194,126,5
108,Hyundai Verna VTVT 1.6 SX,2017,866000,37800,Petrol,Individual,Manual,First Owner,Sedan,17,1591,205,5
109,Volkswagen Passat 1.8 TSI MT,2010,700000,114000,Petrol,Individual,Manual,First Owner,Convertible,14.3,1798,221,5
110,Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,300000,48000,Petrol,Individual,Manual,First Owner,Wagon,15.8,1172,123,5
111,Mahindra XUV500 W11 Option AWD,2019,1700000,32000,Diesel,Individual,Manual,First Owner,Van,15.1,2179,284,7
112,Tata Indigo CS LS (TDI) BS-III,2016,375000,100000,Diesel,Individual,Manual,First Owner,Wagon,19.09,1405,171,5
113,Hyundai Verna 1.6 SX,2013,522000,150000,Diesel,Individual,Manual,Second Owner,Jeep,22.32,1582,231,5
114,Hyundai i20 Magna 1.4 CRDi (Diesel),2013,451999,69000,Diesel,Individual,Manual,First Owner,Jeep,21.9,1396,178,5
115,Toyota Corolla Altis G,2009,300000,100000,Petrol,Individual,Manual,Second Owner,Wagon,14.53,1798,178,5
116,Maruti Celerio VXI,2020,475000,13000,Petrol,Individual,Manual,First Owner,Wagon,21.63,998,101,5
117,Maruti Vitara Brezza ZDi Plus Dual Tone,2016,780000,60000,Diesel,Individual,Manual,First Owner,Jeep,24.3,1248,187,5
118,Maruti Swift Dzire VXI,2017,595000,40000,Petrol,Individual,Manual,First Owner,MUV/SUV,20.85,1197,116,5
119,Maruti Wagon R VXI BS IV,2017,440000,35000,Petrol,Individual,Manual,First Owner,Convertible,20.51,998,97,5
120,Maruti Swift VDI BSIV,2010,300000,120000,Diesel,Individual,Manual,Second Owner,Wagon,19.41878336,1458,142,7
121,Nissan Terrano XL 85 PS,2014,400000,70000,Diesel,Individual,Manual,Third Owner,Jeep,20.45,1461,164,5
122,Hyundai Creta 1.6 CRDi SX,2016,1140000,50000,Diesel,Individual,Manual,First Owner,Sedan,19.67,1582,199,5
123,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,850000,76139,Diesel,Individual,Manual,First Owner,Sedan,23,1498,182,5
124,Maruti Swift Dzire VDi,2012,370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,Van,19.3,1248,168,5
125,Renault KWID 1.0,2018,350000,25000,Petrol,Individual,Manual,First Owner,Wagon,23.01,999,102,5
126,Maruti Celerio VXI,2015,360000,40000,Petrol,Individual,Manual,Second Owner,Wagon,23.1,998,133,5
127,Maruti Alto LXi,2008,105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,Sedan,19.7,796,53,5
128,Maruti Ertiga VDI,2013,625000,90000,Diesel,Individual,Manual,Second Owner,Van,20.77,1248,141,7
129,Hyundai Santro Xing GLS,2009,135000,80000,Petrol,Individual,Manual,Second Owner,Van,17.92,1086,148,5
130,Maruti Ertiga VDI,2015,700000,110000,Diesel,Individual,Manual,Second Owner,Convertible,20.77,1248,167,7
131,Honda Amaze S i-VTEC,2019,690000,1303,Petrol,Dealer,Manual,First Owner,MUV/SUV,17.8,1198,115,5
132,Audi Q5 35TDI Premium Plus,2018,3975000,31800,Diesel,Dealer,Automatic,First Owner,Jeep,17.01,1968,288,5
133,Lexus ES 300h,2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,Hatchback,22.37,2487,340,5
134,Jaguar XF 2.0 Diesel Portfolio,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,Convertible,19.33,1999,233,5
135,Jeep Wrangler 2016-2019 3.6 4X4,2017,4100000,17000,Petrol,Individual,Automatic,First Owner,Wagon,9.5,3604,434,5
136,Land Rover Discovery Sport TD4 SE,2019,4500000,21000,Diesel,Dealer,Automatic,First Owner,Jeep,12.83,1999,298,7
137,Mercedes-Benz S-Class S 350 CDI,2017,6000000,37000,Diesel,Dealer,Automatic,First Owner,MUV/SUV,13.5,2987,319,5
138,BMW 5 Series 520d Sport Line,2018,3790000,29500,Diesel,Dealer,Automatic,First Owner,Sedan,22.48,1995,269,5
139,BMW X1 sDrive 20D xLine,2017,2150000,27000,Diesel,Dealer,Automatic,First Owner,Wagon,19.41878336,1458,195,7
140,BMW X4 M Sport X xDrive20d,2019,5800000,7500,Diesel,Dealer,Automatic,First Owner,Sedan,16.78,1995,230,5
141,Skoda Superb LK 1.8 TSI AT,2018,1864999,50000,Petrol,Dealer,Automatic,First Owner,MUV/SUV,14.67,1798,162,5
142,Mercedes-Benz E-Class E250 Edition E,2016,2700000,35000,Diesel,Dealer,Automatic,First Owner,Wagon,15,2143,305,5
143,MG Hector Sharp AT BSIV,2019,1750000,19000,Petrol,Dealer,Automatic,First Owner,Jeep,13.96,1451,142,5
144,Honda City i-VTEC CVT VX,2017,795000,41000,Petrol,Dealer,Automatic,First Owner,Hatchback,18,1497,157,5
145,Toyota Corolla Altis 1.8 G CVT,2013,625000,39000,Petrol,Dealer,Automatic,First Owner,Hatchback,14.28,1798,240,5
146,Volvo XC40 D4 R-Design,2018,3400000,22000,Diesel,Dealer,Automatic,First Owner,Coupe,18,1969,243,5
147,Audi Q7 35 TDI Quattro Premium,2015,2650000,53000,Diesel,Dealer,Automatic,First Owner,Coupe,12.07,2967,400,7
148,Maruti Ciaz ZDi,2015,535000,40000,Diesel,Dealer,Manual,First Owner,MUV/SUV,26.21,1248,151,5
149,Mercedes-Benz S-Class S 350 CDI,2017,5850000,47000,Diesel,Dealer,Automatic,First Owner,Coupe,13.5,2987,365,5
150,BMW 5 Series 523i,2010,975000,72200,Petrol,Dealer,Automatic,Second Owner,Hatchback,10.8,2497,318,5
151,Hyundai Elantra S,2016,805000,49900,Petrol,Dealer,Manual,First Owner,MUV/SUV,16.3,1797,239,5
152,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,2625000,9000,Diesel,Dealer,Automatic,First Owner,Jeep,13.6,1999,216,5
153,Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,811000,11000,Petrol,Dealer,Manual,First Owner,Coupe,17,1198,130,5
154,Volkswagen Vento Petrol Highline,2011,375000,49000,Petrol,Individual,Manual,First Owner,Coupe,15.04,1598,225,5
155,Hyundai Elantra SX,2012,550000,95000,Petrol,Individual,Manual,First Owner,MUV/SUV,16.3,1797,202,5
156,Skoda Rapid 1.6 MPI AT Elegance,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,Hatchback,14.3,1598,225,5
157,Mercedes-Benz CLA 200 CGI Sport,2018,2550000,18000,Petrol,Dealer,Automatic,First Owner,Coupe,15.04,1991,218,5
158,Maruti Ertiga ZXI,2014,599000,46100,Petrol,Dealer,Manual,First Owner,Van,16.02,1373,176,7
159,Mercedes-Benz New C-Class C 200 AVANTGARDE,2017,2700000,16000,Petrol,Dealer,Automatic,First Owner,Van,14.74,1991,291,5
160,Honda City V AT,2017,875000,18000,Petrol,Dealer,Automatic,First Owner,Convertible,15.6,1497,190,5
161,Toyota Glanza V CVT,2019,894999,9654,Petrol,Dealer,Automatic,First Owner,Convertible,19.56,1197,147,5
162,Maruti Alto K10 VXI,2011,175000,11000,Petrol,Dealer,Manual,First Owner,MUV/SUV,23.95,998,132,5
163,Maruti Swift VXI,2012,340000,24300,Petrol,Dealer,Manual,First Owner,Convertible,21.21,1197,149,5
164,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1525000,42163,Diesel,Dealer,Automatic,Second Owner,Sedan,11.36,2755,349,7
165,Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,1025000,8000,Diesel,Dealer,Automatic,First Owner,Coupe,21.5,1497,145,5
166,BMW 3 Series 320d Luxury Line,2016,2150000,30000,Diesel,Dealer,Automatic,First Owner,Convertible,22.69,1995,200,5
167,Toyota Camry 2.5 Hybrid,2016,1900000,41000,Petrol,Dealer,Automatic,First Owner,Jeep,19.16,2494,315,5
168,BMW 5 Series 520d Luxury Line,2016,2900000,12000,Diesel,Dealer,Automatic,First Owner,Jeep,18.12,1995,237,5
169,Toyota Camry W4 (AT),2009,450000,71000,Petrol,Dealer,Automatic,First Owner,Wagon,12.1,2362,273,5
170,Maruti Ertiga BSIV ZXI Plus,2016,850000,20000,Petrol,Individual,Manual,First Owner,Van,17.5,1373,196,7
171,Volvo XC90 T8 Excellence BSIV,2017,10000000,30000,Petrol,Individual,Automatic,First Owner,MUV/SUV,42,1969,220,4
172,Volkswagen Vento Diesel Highline,2011,300000,100000,Diesel,Individual,Manual,Second Owner,Van,20.54,1598,188,5
173,Ford Figo Aspire 1.2 Ti-VCT Trend,2018,575000,9500,Petrol,Individual,Manual,First Owner,Coupe,18.16,1196,133,5
174,Ford Figo Diesel LXI,2011,160000,120000,Diesel,Individual,Manual,First Owner,Convertible,20,1399,182,5
175,Maruti Swift VXI Optional,2015,515000,36600,Petrol,Individual,Manual,First Owner,Wagon,20.4,1197,99,5
176,Maruti Wagon R AMT VXI,2015,390000,50000,Petrol,Individual,Automatic,Second Owner,Convertible,20.51,998,87,5
177,Hyundai i20 Magna 1.2,2016,550000,14000,Petrol,Individual,Manual,Second Owner,Jeep,18.6,1197,120,5
178,Maruti 800 Std,1999,40000,40000,Petrol,Individual,Manual,Second Owner,Van,16.1,796,54,4
179,Maruti Ritz VDi,2010,220000,120000,Diesel,Individual,Manual,First Owner,Hatchback,21.1,1248,149,5
180,Hyundai Grand i10 Magna,2015,425000,70000,Petrol,Individual,Manual,First Owner,Jeep,18.9,1197,113,5
181,Volkswagen Ameo 1.0 MPI Trendline,2019,480000,13000,Petrol,Individual,Manual,First Owner,Convertible,19.44,999,102,5
182,Hyundai Grand i10 Sportz,2014,400000,60000,Petrol,Individual,Manual,Second Owner,Convertible,18.9,1197,134,5
183,Maruti Swift Dzire VXI,2014,487000,35000,Petrol,Individual,Manual,First Owner,Hatchback,19.1,1197,135,5
184,Hyundai Xcent 1.2 Kappa S,2016,386000,44000,Petrol,Individual,Manual,Second Owner,MUV/SUV,19.1,1197,117,5
185,Honda City 1.5 EXI,2005,100000,120000,Petrol,Individual,Manual,Second Owner,Convertible,13,1493,142,5
186,Toyota Corolla Altis Diesel D4DG,2010,300000,60000,Diesel,Individual,Manual,First Owner,Wagon,21.43,1364,165,5
187,Daewoo Matiz SD,2000,100000,60000,Petrol,Individual,Manual,First Owner,MUV/SUV,18.5,796,56,5
188,Toyota Fortuner 4x2 Manual,2014,1750000,30000,Diesel,Individual,Manual,Second Owner,Sedan,13,2982,312,7
189,Mahindra KUV 100 mFALCON G80 K8,2016,450000,15000,Petrol,Individual,Manual,Second Owner,Van,18.15,1198,104,6
190,Tata Zest Quadrajet 1.3 75PS XM,2017,490000,90000,Diesel,Individual,Manual,First Owner,Sedan,22.95,1248,183,5
191,Honda City 1.5 S MT,2009,345000,47000,Petrol,Individual,Manual,Second Owner,MUV/SUV,17,1497,184,5
192,Maruti Zen LXI,2005,85000,90000,Petrol,Individual,Manual,First Owner,Wagon,17.3,993,102,5
193,Maruti Wagon R VXI BS IV with ABS,2010,215000,120600,Petrol,Individual,Manual,Second Owner,MUV/SUV,18.9,998,129,5
194,Hyundai Verna Transform SX VTVT,2010,320000,100000,Petrol,Individual,Manual,Third Owner,Jeep,16.2,1599,204,5
195,Maruti Swift Dzire VXI,2016,459999,60000,Petrol,Individual,Manual,Second Owner,MUV/SUV,20.85,1197,104,5
196,Hyundai Getz GLS,2005,65000,86000,Petrol,Individual,Manual,First Owner,Hatchback,15.3,1341,170,5
197,Hyundai Elite i20 Sportz Plus BSIV,2020,720000,5000,Petrol,Individual,Manual,First Owner,Jeep,18.6,1197,115,5
198,Maruti Ciaz 1.3 Alpha,2017,800000,37000,Diesel,Individual,Manual,First Owner,MUV/SUV,28.09,1248,198,5
199,Tata Tigor 1.2 Revotron XZ,2019,520000,14000,Petrol,Individual,Manual,First Owner,Jeep,20.3,1199,114,5
200,Maruti Ertiga VDI,2015,580000,70000,Diesel,Individual,Manual,First Owner,Coupe,20.77,1248,157,7
201,Toyota Etios GD,2012,235000,120000,Diesel,Individual,Manual,First Owner,MUV/SUV,19.41878336,1458,137,7
202,Honda City i VTEC S,2015,600000,50000,Petrol,Individual,Manual,First Owner,Hatchback,17.4,1497,170,5
203,Honda Brio S MT,2014,290000,60000,Petrol,Individual,Manual,Second Owner,Sedan,19.4,1198,142,5
204,Maruti Wagon R LXI CNG,2016,360000,50000,CNG,Individual,Manual,First Owner,Convertible,26.6,998,128,5
205,Maruti Swift Dzire VXI,2017,550000,50000,Petrol,Individual,Manual,First Owner,Sedan,20.85,1197,145,5
206,Hyundai i20 Sportz 1.2,2013,375000,70000,Petrol,Individual,Manual,First Owner,MUV/SUV,18.5,1197,117,5
207,Maruti Omni E 8 Str STD,2003,40000,90000,Petrol,Individual,Manual,Second Owner,Sedan,19.41878336,1458,180,7
208,Maruti Wagon R AMT VXI,2018,420000,35000,Petrol,Individual,Automatic,First Owner,Wagon,20.51,998,106,5
209,Maruti Swift Dzire VXI 1.2,2017,550000,20000,Petrol,Individual,Manual,First Owner,Van,21.21,1197,124,5
210,Maruti Alto 800 LXI,2018,270000,20000,Petrol,Individual,Manual,First Owner,Coupe,24.7,796,55,5
211,Maruti Swift Dzire AMT VXI BS IV,2018,700000,7800,Petrol,Individual,Automatic,First Owner,Convertible,22,1197,115,5
212,Maruti Swift VXI Optional,2017,500000,20000,Petrol,Individual,Manual,First Owner,MUV/SUV,20.4,1197,149,5
213,Tata Hexa XE,2019,1250000,15000,Diesel,Individual,Manual,First Owner,Convertible,17.6,2179,288,7
214,Hyundai i20 Magna,2013,320000,31377,Petrol,Individual,Manual,Second Owner,Wagon,18.5,1197,128,5
215,Maruti Swift Dzire VDI,2018,700000,50000,Diesel,Individual,Manual,First Owner,Convertible,28.4,1248,157,5
216,Maruti Wagon R VXI BS IV,2015,290000,60000,Petrol,Individual,Manual,First Owner,Coupe,20.51,998,102,5
217,Toyota Corolla Altis 1.8 VL AT,2012,550000,100000,Petrol,Individual,Automatic,First Owner,Hatchback,14.53,1794,231,5
218,Honda Brio S MT,2012,265000,60000,Petrol,Individual,Manual,First Owner,Wagon,19.4,1198,148,5
